customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn,clv,spend_category
2388-laesq,female,1,1,0,72,1,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,1,bank transfer (automatic),114.85,8317.95,0,8269.2,very_high
9531-nsbmr,female,0,0,0,36,1,no,no,no,no,no,no,no,no,one year,1,bank transfer (automatic),19.25,679.8,0,693,low
6260-onulr,male,0,0,0,1,1,no,dsl,no,no,no,no,yes,yes,month-to-month,1,mailed check,62.8,62.8,0,62.8,medium
4389-uefcz,female,0,1,0,72,1,yes,fiber optic,yes,no,yes,no,yes,yes,two year,1,electronic check,105.5,7544,0,7596,very_high
8711-lobky,male,0,1,1,59,1,no,no,no,no,no,no,no,no,two year,0,mailed check,19.85,1188.25,0,1171.15,low
9134-ceqmf,male,1,1,0,7,1,no,fiber optic,no,no,no,no,yes,yes,month-to-month,1,electronic check,89.5,676.7,1,626.5,high
8985-oopos,female,0,0,0,1,1,no,dsl,no,no,yes,yes,yes,yes,one year,0,credit card (automatic),74.1,74.1,0,74.1,high
8800-zkrfw,female,0,1,1,30,1,yes,fiber optic,no,yes,yes,yes,yes,yes,month-to-month,1,electronic check,107.5,3242.5,0,3225,very_high
2616-flvqc,male,0,0,0,64,1,no,no,no,no,no,no,no,no,two year,0,mailed check,19.55,1240.15,0,1251.2,low
9968-ffvvh,male,0,0,0,63,1,yes,dsl,yes,yes,yes,yes,no,no,one year,0,bank transfer (automatic),68.8,4111.35,0,4334.4,medium
3108-pccgg,male,1,1,0,72,1,yes,dsl,yes,yes,yes,no,yes,yes,two year,0,credit card (automatic),84.45,5899.85,0,6080.4,high
7993-pykof,male,0,1,0,8,1,no,fiber optic,yes,no,no,no,no,no,month-to-month,0,electronic check,75,632.95,1,600,high
8390-fesfv,female,0,0,0,62,1,yes,dsl,no,yes,yes,yes,yes,yes,two year,0,bank transfer (automatic),84.5,5193.2,0,5239,high
3022-bexhz,male,0,1,1,67,1,yes,fiber optic,no,yes,yes,yes,yes,yes,two year,1,bank transfer (automatic),111.2,7530.8,0,7450.4,very_high
5027-xwqha,male,0,0,0,6,1,no,dsl,no,no,no,no,no,no,month-to-month,0,electronic check,44.75,270.95,1,268.5,medium
6248-tkcqv,female,0,1,1,70,1,yes,dsl,yes,no,no,yes,yes,yes,two year,1,bank transfer (automatic),80.6,5460.2,0,5642,high
6729-gdngc,female,1,0,0,20,1,no,fiber optic,no,no,no,no,yes,no,month-to-month,0,bank transfer (automatic),80.7,1614.2,0,1614,high
6198-zfioj,female,0,0,0,5,1,yes,fiber optic,no,no,no,no,no,no,month-to-month,0,electronic check,75.6,402.5,0,378,high
5989-omnje,female,0,1,1,24,0,no,dsl,yes,yes,yes,no,yes,yes,one year,0,electronic check,57.6,1367.75,0,1382.4,medium
4566-qvrrw,female,0,1,0,11,1,no,dsl,no,no,no,no,no,no,month-to-month,1,electronic check,44.05,483.7,1,484.55,medium
1291-cuocy,male,0,1,0,72,1,yes,fiber optic,no,yes,yes,yes,yes,yes,two year,1,credit card (automatic),110.6,7962.2,0,7963.2,very_high
9795-shuhb,female,0,1,1,66,1,no,dsl,yes,yes,no,yes,no,no,two year,1,credit card (automatic),58.2,3810.8,0,3841.2,medium
3230-iualn,female,0,1,1,45,1,no,dsl,yes,no,yes,yes,yes,yes,two year,1,mailed check,81,3533.6,0,3645,high
0042-rlhyp,female,0,1,1,69,1,no,no,no,no,no,no,no,no,two year,0,bank transfer (automatic),19.7,1396.9,0,1359.3,low
8519-imdhu,male,1,1,0,15,1,yes,fiber optic,no,no,no,no,no,yes,month-to-month,1,bank transfer (automatic),85.6,1345.55,1,1284,high
4945-rvmte,female,0,0,0,28,1,no,dsl,no,no,yes,no,yes,no,month-to-month,1,bank transfer (automatic),59.55,1646.45,0,1667.4,medium
0201-oamxr,female,0,0,0,70,1,yes,fiber optic,yes,yes,yes,yes,yes,yes,one year,0,credit card (automatic),115.55,8127.6,1,8088.5,very_high
1866-nxpsp,female,0,0,0,36,1,no,dsl,yes,yes,yes,yes,no,yes,one year,1,mailed check,75.55,2680.15,0,2719.8,high
3372-kwfbm,male,1,0,0,16,1,yes,fiber optic,no,no,no,no,yes,no,month-to-month,1,electronic check,86.6,1281,1,1385.6,high
7831-qgoxh,female,0,0,0,18,1,yes,fiber optic,no,no,no,no,yes,no,month-to-month,1,electronic check,85.2,1553.9,1,1533.6,high
6393-wryze,female,0,1,0,34,1,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,1,electronic check,97.65,3207.55,1,3320.1,high
3941-xtskm,male,0,1,1,42,0,no,dsl,no,yes,yes,no,no,yes,one year,1,credit card (automatic),45.1,2049.05,0,1894.2,medium
1661-czbau,male,0,0,0,48,1,yes,dsl,yes,no,no,yes,no,yes,one year,1,bank transfer (automatic),70.95,3629.2,0,3405.6,high
6599-rclcj,male,0,1,0,47,1,yes,fiber optic,no,yes,yes,yes,yes,yes,month-to-month,1,electronic check,109.55,5124.55,1,5148.85,very_high
9831-bpfri,female,0,1,1,39,1,yes,fiber optic,no,yes,yes,yes,no,no,one year,1,electronic check,89.55,3474.45,1,3492.45,high
5158-rivop,female,0,1,1,11,1,no,no,no,no,no,no,no,no,two year,0,credit card (automatic),20.9,202.3,0,229.9,low
9788-ytfge,male,0,0,0,7,1,no,no,no,no,no,no,no,no,month-to-month,1,mailed check,19.95,147.5,0,139.65,low
9277-joomo,female,0,0,0,3,1,yes,no,no,no,no,no,no,no,month-to-month,0,mailed check,24.6,86.35,0,73.8,low
1907-ylnyw,male,0,0,0,8,1,no,dsl,yes,no,yes,no,no,yes,month-to-month,1,electronic check,66.7,579,0,533.6,medium
1725-mimxw,male,0,0,1,1,1,no,no,no,no,no,no,no,no,month-to-month,1,mailed check,19.45,19.45,1,19.45,low
8947-yrtdv,male,0,1,1,32,1,no,fiber optic,yes,yes,yes,no,no,yes,one year,0,mailed check,94.8,3131.55,0,3033.6,high
3161-onrwk,male,0,1,1,60,1,no,dsl,yes,yes,yes,yes,no,no,one year,1,bank transfer (automatic),65.85,3928.3,0,3951,medium
0114-rsrrw,female,0,1,0,10,1,no,no,no,no,no,no,no,no,month-to-month,1,bank transfer (automatic),19.95,187.75,0,199.5,low
4565-nlzbv,female,0,1,0,71,1,yes,no,no,no,no,no,no,no,two year,1,bank transfer (automatic),24.65,1710.15,0,1750.15,low
0031-pvlzi,female,0,1,1,4,1,no,no,no,no,no,no,no,no,month-to-month,0,mailed check,20.35,76.35,1,81.4,low
7206-gzcdc,female,1,0,0,1,1,no,fiber optic,no,no,no,no,no,no,month-to-month,1,electronic check,69.25,69.25,1,69.25,medium
6682-vcixc,female,0,1,1,43,0,no,dsl,yes,yes,no,yes,yes,no,one year,1,bank transfer (automatic),51.25,2151.6,0,2203.75,medium
4791-qrgmf,male,0,1,0,59,1,yes,fiber optic,no,no,yes,no,yes,yes,one year,1,bank transfer (automatic),99.5,5961.1,1,5870.5,high
6475-vhuiz,female,0,1,0,23,1,no,dsl,no,no,yes,yes,no,no,month-to-month,0,electronic check,54.25,1221.55,0,1247.75,medium
3910-mrqoy,female,0,1,0,72,1,no,no,no,no,no,no,no,no,two year,0,bank transfer (automatic),19.4,1496.45,0,1396.8,low
0661-wcqnq,male,0,1,0,22,1,no,dsl,yes,no,no,yes,no,no,one year,1,credit card (automatic),56.25,1292.2,0,1237.5,medium
7537-rbwea,female,0,0,0,1,0,no,dsl,no,no,no,no,no,no,month-to-month,1,mailed check,25.15,25.15,0,25.15,low
4656-caurt,male,0,0,0,69,1,yes,no,no,no,no,no,no,no,two year,0,bank transfer (automatic),23.95,1713.1,0,1652.55,low
0121-snyrk,male,0,0,0,50,0,no,dsl,yes,no,no,yes,no,no,one year,1,mailed check,35.4,1748.9,0,1770,medium
1768-zaifu,female,1,0,0,1,0,no,dsl,no,no,no,no,no,no,month-to-month,1,electronic check,25.2,25.2,1,25.2,low
4671-lxrdq,male,0,0,0,2,1,no,dsl,no,no,no,no,no,no,month-to-month,1,mailed check,45,96.45,1,90,medium
3733-lsyce,female,0,1,0,15,1,no,fiber optic,no,yes,no,no,no,no,month-to-month,0,bank transfer (automatic),75.35,1114.55,0,1130.25,high
6265-frmtq,male,0,0,0,31,1,no,no,no,no,no,no,no,no,two year,0,bank transfer (automatic),20.4,609.1,0,632.4,low
1934-sjvjk,male,0,0,0,1,1,no,no,no,no,no,no,no,no,month-to-month,0,mailed check,20.15,20.15,1,20.15,low
3838-ozurd,male,0,1,0,66,1,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,1,credit card (automatic),105,7133.25,1,6930,very_high
1371-dwpaz,female,0,1,1,0,0,no,dsl,yes,yes,yes,yes,yes,no,two year,0,credit card (automatic),56.05,1397.475,0,0,medium
9269-cqool,male,0,0,1,3,1,no,dsl,no,no,no,no,yes,no,month-to-month,1,credit card (automatic),54.7,169.45,1,164.1,medium
2017-ccblh,female,0,0,0,8,1,no,no,no,no,no,no,no,no,two year,0,mailed check,20,141.6,0,160,low
7690-kpncu,male,0,1,1,64,1,no,dsl,yes,no,yes,no,yes,yes,one year,1,credit card (automatic),73.05,4688.65,0,4675.2,high
0536-bgfmz,female,0,1,0,28,1,no,no,no,no,no,no,no,no,month-to-month,0,mailed check,20.5,563.05,0,574,low
2293-ijwps,female,0,1,0,57,1,yes,fiber optic,no,no,yes,no,yes,yes,one year,1,credit card (automatic),100.75,5985,0,5742.75,very_high
2845-hsjcy,female,0,1,1,14,1,yes,fiber optic,no,no,yes,no,no,yes,month-to-month,1,electronic check,87.25,1258.6,1,1221.5,high
5469-nujur,male,0,0,0,19,1,no,no,no,no,no,no,no,no,two year,1,mailed check,19.95,373.5,0,379.05,low
1184-pjvdb,male,0,1,0,10,1,no,fiber optic,no,no,no,no,yes,no,month-to-month,1,electronic check,79.95,857.2,1,799.5,high
2625-trczq,female,0,1,0,51,0,no,dsl,no,yes,no,no,yes,yes,month-to-month,1,electronic check,49.65,2553.35,0,2532.15,medium
4102-hlenu,female,0,1,0,67,1,yes,dsl,yes,yes,yes,no,no,no,two year,0,mailed check,65.65,4322.85,0,4398.55,medium
7266-gssjx,male,0,1,1,11,1,no,no,no,no,no,no,no,no,month-to-month,1,electronic check,20.45,250.8,0,224.95,low
7722-vjrqd,male,0,1,1,72,0,no,dsl,yes,no,yes,yes,yes,yes,two year,0,bank transfer (automatic),60.95,4549.05,0,4388.4,medium
7073-qetqy,male,0,1,1,66,1,no,no,no,no,no,no,no,no,one year,1,electronic check,20.35,1359.5,0,1343.1,low
9415-dpews,female,0,0,0,18,1,yes,fiber optic,no,no,no,yes,yes,no,month-to-month,1,electronic check,88.35,1639.3,1,1590.3,high
5624-ryamh,female,0,0,0,9,1,no,no,no,no,no,no,no,no,month-to-month,1,electronic check,19.5,178.85,0,175.5,low
0196-jtuqi,female,0,0,0,9,1,yes,fiber optic,no,no,no,no,no,no,month-to-month,1,credit card (automatic),75.2,633.85,0,676.8,high
7130-yxbro,male,0,1,0,48,1,yes,fiber optic,yes,yes,yes,no,yes,yes,month-to-month,1,bank transfer (automatic),111.45,5315.1,0,5349.6,very_high
9272-lsvyh,male,0,0,0,10,1,no,fiber optic,no,no,no,no,no,no,month-to-month,0,mailed check,70.15,735.5,0,701.5,high
7943-rqchr,female,0,0,0,9,1,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,1,electronic check,94.75,889.9,1,852.75,high
3793-mmfuh,female,1,0,0,13,1,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,1,electronic check,95.05,1290,1,1235.65,high
3249-zpqrg,male,0,0,0,4,1,yes,fiber optic,no,yes,no,no,no,no,month-to-month,0,electronic check,78.45,330.05,1,313.8,high
2568-brgyx,male,0,0,0,4,1,no,fiber optic,no,no,no,no,no,no,month-to-month,1,electronic check,70.2,237.95,1,280.8,high
3084-dowle,female,0,1,0,72,1,yes,dsl,yes,yes,yes,yes,yes,yes,two year,0,bank transfer (automatic),92,6474.4,0,6624,high
1084-mnsmj,female,0,1,1,51,1,no,dsl,yes,yes,yes,yes,yes,yes,two year,0,credit card (automatic),85.5,4421.95,0,4360.5,high
7721-jxeaw,male,0,1,0,59,0,no,dsl,no,yes,no,no,no,yes,month-to-month,1,bank transfer (automatic),41.05,2452.7,1,2421.95,medium
7249-wbiyx,male,0,1,0,10,1,yes,fiber optic,no,no,no,no,yes,no,month-to-month,1,electronic check,85.6,813.85,1,856,high
4238-hfhsn,male,1,1,0,61,1,yes,fiber optic,no,yes,no,no,no,no,month-to-month,1,electronic check,82.15,4904.85,0,5011.15,high
6250-cggun,male,0,0,0,54,1,no,fiber optic,yes,no,yes,yes,no,no,one year,0,electronic check,84.4,4484.05,0,4557.6,high
5478-jjvzk,female,0,0,0,33,1,yes,dsl,yes,yes,no,no,no,no,month-to-month,1,mailed check,60.9,2033.85,0,2009.7,medium
7596-iiwyc,female,0,0,0,27,1,no,no,no,no,no,no,no,no,two year,1,bank transfer (automatic),20.25,538.2,0,546.75,low
6567-hoopw,female,1,0,0,1,1,no,fiber optic,no,no,no,no,yes,no,month-to-month,1,electronic check,79.2,79.2,1,79.2,high
9793-wecqc,male,0,0,0,23,1,no,fiber optic,no,yes,no,no,yes,yes,month-to-month,0,mailed check,95.3,2192.9,0,2191.9,high
4291-hpaxl,male,0,0,1,1,1,no,no,no,no,no,no,no,no,month-to-month,0,mailed check,19.85,19.85,0,19.85,low
8999-ypybv,male,0,1,1,45,1,no,dsl,yes,yes,yes,yes,yes,yes,two year,1,mailed check,84.35,3858.05,0,3795.75,high
1839-fbnfr,female,0,1,1,39,1,no,no,no,no,no,no,no,no,two year,1,bank transfer (automatic),19.85,854.8,0,774.15,low
3164-aalrn,male,0,0,0,5,1,no,dsl,no,no,yes,no,yes,yes,one year,1,mailed check,70,347.4,1,350,medium
3071-mvjcd,male,0,1,1,72,1,yes,dsl,yes,yes,yes,yes,yes,no,two year,0,bank transfer (automatic),82.3,5815.15,0,5925.6,high
1697-bcshv,female,0,1,1,58,1,yes,dsl,no,yes,no,no,yes,no,month-to-month,1,bank transfer (automatic),66.8,3970.4,0,3874.4,medium
0562-kbdvm,female,0,0,0,70,0,no,dsl,yes,yes,yes,yes,no,no,two year,1,bank transfer (automatic),44.6,3058.15,0,3122,medium
1131-suekt,male,0,1,1,61,1,no,fiber optic,no,yes,no,yes,yes,yes,one year,1,bank transfer (automatic),98.45,6145.2,0,6005.45,high
3717-oeauq,male,0,0,0,2,1,no,fiber optic,no,no,no,no,no,no,month-to-month,0,mailed check,70.7,129.2,0,141.4,high
4538-wntmj,female,0,1,1,46,1,yes,no,no,no,no,no,no,no,one year,0,mailed check,24.95,1165.9,0,1147.7,low
3334-cthol,female,0,0,0,1,1,yes,dsl,no,no,no,no,no,no,month-to-month,1,bank transfer (automatic),49.95,49.95,1,49.95,medium
4704-eryfc,female,0,1,0,22,1,no,fiber optic,no,no,no,no,no,no,month-to-month,1,electronic check,69.25,1554,1,1523.5,medium
9432-ruvsl,female,0,0,0,48,1,no,fiber optic,yes,no,yes,yes,yes,yes,two year,1,credit card (automatic),102.5,4904.25,0,4920,very_high
8060-hiwjj,male,0,0,0,64,1,yes,dsl,no,yes,yes,yes,yes,yes,two year,0,credit card (automatic),86.55,5632.55,0,5539.2,high
7684-xsziy,male,0,1,1,72,1,yes,no,no,no,no,no,no,no,two year,0,bank transfer (automatic),24.3,1643.25,0,1749.6,low
9089-uowjg,female,0,1,1,12,1,no,dsl,no,no,yes,no,yes,no,month-to-month,1,credit card (automatic),58.35,740.55,0,700.2,medium
8621-mnihh,female,1,1,0,34,1,yes,fiber optic,no,yes,yes,no,no,yes,month-to-month,1,electronic check,94.25,3217.55,1,3204.5,high
8039-aclpl,female,0,1,1,72,1,no,dsl,yes,yes,yes,no,no,yes,two year,0,credit card (automatic),68.75,4888.2,0,4950,medium
9885-aibvb,male,0,1,0,29,1,yes,fiber optic,no,yes,yes,no,no,no,month-to-month,1,electronic check,85.8,2440.25,0,2488.2,high
1934-mkpxs,male,0,1,1,33,1,no,no,no,no,no,no,no,no,one year,0,credit card (automatic),20.1,620.55,0,663.3,low
2592-ykdif,female,0,0,0,1,1,no,no,no,no,no,no,no,no,month-to-month,0,mailed check,20.35,20.35,0,20.35,low
2272-jkmsi,female,0,1,1,62,1,yes,fiber optic,no,yes,yes,yes,yes,yes,one year,1,electronic check,110.8,6840.95,0,6869.6,very_high
0471-lvhgk,male,0,1,0,41,1,yes,dsl,no,no,yes,no,yes,yes,one year,1,electronic check,73,3001.2,1,2993,high
9518-rwhzl,female,0,0,0,64,1,yes,fiber optic,no,no,yes,no,yes,yes,one year,1,credit card (automatic),100.05,6254.2,1,6403.2,very_high
8714-ctzjw,female,0,0,0,4,1,no,fiber optic,no,no,yes,no,no,yes,month-to-month,1,credit card (automatic),82.85,319.6,0,331.4,high
3569-edbpq,female,0,0,0,24,1,yes,fiber optic,yes,no,no,yes,no,no,month-to-month,1,electronic check,84.35,1938.05,0,2024.4,high
3131-nwvfj,female,0,1,1,14,1,no,no,no,no,no,no,no,no,one year,0,mailed check,19.55,294.5,0,273.7,low
7521-yxvzy,male,0,0,1,3,1,no,no,no,no,no,no,no,no,month-to-month,0,mailed check,19.95,58.3,0,59.85,low
5419-conwx,female,1,0,0,4,1,no,fiber optic,no,yes,yes,no,yes,yes,month-to-month,1,credit card (automatic),99.8,442.85,1,399.2,high
6240-eurks,female,0,0,1,18,0,no,dsl,no,no,no,no,no,yes,month-to-month,1,electronic check,35,553,1,630,medium
2373-ntkod,male,0,0,0,8,1,no,dsl,no,no,no,no,yes,yes,month-to-month,1,electronic check,66.25,546.45,0,530,medium
1970-kkfwl,female,0,0,0,35,1,yes,no,no,no,no,no,no,no,two year,0,bank transfer (automatic),23.3,797.1,0,815.5,low
6960-hvyxr,female,0,0,0,1,1,yes,fiber optic,no,no,no,no,no,no,month-to-month,0,electronic check,76,76,1,76,high
9337-srrni,male,0,0,1,66,1,yes,no,no,no,no,no,no,no,two year,1,credit card (automatic),25.3,1673.8,0,1669.8,low
0895-uadgo,male,0,0,1,8,0,no,dsl,yes,no,no,yes,no,yes,two year,1,mailed check,44.55,343.45,0,356.4,medium
5678-vfneq,female,0,1,0,71,1,yes,fiber optic,yes,no,yes,no,yes,yes,one year,1,credit card (automatic),104.1,7412.25,0,7391.1,very_high
5977-ckhon,female,0,1,1,43,1,yes,fiber optic,no,no,yes,no,no,yes,month-to-month,1,bank transfer (automatic),92.55,4039,0,3979.65,high
7024-ohcck,female,1,0,0,2,1,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,1,electronic check,93.85,170.85,1,187.7,high
2692-bucfv,male,1,0,0,29,1,no,fiber optic,no,yes,yes,no,yes,yes,month-to-month,1,bank transfer (automatic),101.45,2948.6,0,2942.05,very_high
7861-uvuft,female,0,1,0,15,1,no,fiber optic,no,no,yes,no,yes,no,month-to-month,1,electronic check,84.3,1308.4,1,1264.5,high
1830-ggfnm,male,0,1,1,65,1,yes,fiber optic,yes,yes,yes,yes,no,no,two year,0,credit card (automatic),94.55,6078.75,0,6145.75,high
5302-bdjnt,male,0,0,0,35,1,yes,fiber optic,no,no,yes,yes,yes,no,month-to-month,0,electronic check,95.5,3418.2,0,3342.5,high
5223-uzavk,male,0,0,0,64,1,no,fiber optic,yes,yes,no,no,yes,yes,one year,1,credit card (automatic),100.3,6603.8,0,6419.2,very_high
4859-zsrdz,female,0,1,1,58,0,no,dsl,no,no,yes,yes,yes,yes,two year,1,credit card (automatic),55.5,3166.9,0,3219,medium
5651-wyiph,female,1,0,0,18,1,no,dsl,no,yes,no,no,no,no,month-to-month,1,credit card (automatic),49.85,865.75,0,897.3,medium
9350-vlhmb,male,0,1,1,67,1,yes,fiber optic,no,yes,no,no,no,yes,month-to-month,1,bank transfer (automatic),89.55,6373.1,0,5999.85,high
3498-lzgqz,male,0,1,1,63,1,no,no,no,no,no,no,no,no,two year,1,mailed check,19.15,1177.05,0,1206.45,low
8785-cjshh,female,0,1,0,60,1,yes,fiber optic,no,yes,no,no,yes,yes,month-to-month,1,electronic check,99.8,5985.75,0,5988,high
5357-tzhpp,male,1,0,0,9,1,yes,fiber optic,no,no,no,no,no,yes,month-to-month,1,credit card (automatic),84.4,732.5,1,759.6,high
3870-spzsi,female,0,1,1,70,1,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,1,credit card (automatic),113.05,7869.05,0,7913.5,very_high
0680-dfnny,male,0,1,0,15,1,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,1,electronic check,101.1,1504.05,1,1516.5,very_high
7560-qrbxh,female,0,0,1,48,1,no,no,no,no,no,no,no,no,one year,0,mailed check,19.95,936.7,0,957.6,low
7077-xjmet,male,0,1,0,12,1,no,dsl,no,no,yes,yes,yes,yes,month-to-month,1,electronic check,74.15,741.4,0,889.8,high
8752-ghjfu,male,1,1,0,71,1,yes,fiber optic,yes,yes,yes,yes,no,no,one year,1,electronic check,92,6585.2,0,6532,high
6896-srvyq,male,1,0,0,44,1,no,fiber optic,no,no,yes,no,no,no,month-to-month,0,electronic check,73.85,3122.4,0,3249.4,high
7767-uxagj,male,0,0,0,1,1,yes,dsl,no,no,no,no,no,no,month-to-month,1,electronic check,50.45,50.45,1,50.45,medium
4652-odevh,male,0,1,1,45,1,yes,no,no,no,no,no,no,no,two year,0,mailed check,24.45,1088.25,0,1100.25,low
6510-upnks,female,0,0,0,23,1,yes,no,no,no,no,no,no,no,one year,0,credit card (automatic),24.8,615.35,0,570.4,low
6718-bdghg,female,0,1,0,43,1,yes,dsl,no,no,no,yes,yes,no,one year,1,bank transfer (automatic),64.85,2908.2,0,2788.55,medium
9046-dqmtp,male,0,0,0,35,1,no,no,no,no,no,no,no,no,month-to-month,0,bank transfer (automatic),20.75,739.9,0,726.25,low
6439-lajxl,male,0,1,0,9,1,no,dsl,yes,yes,no,yes,yes,no,month-to-month,1,mailed check,68.95,593.85,0,620.55,medium
1571-savhk,male,0,0,0,12,1,yes,fiber optic,no,no,no,yes,yes,yes,month-to-month,1,mailed check,99.95,1132.75,1,1199.4,high
9052-vkduw,female,1,1,0,65,1,yes,fiber optic,yes,yes,yes,no,yes,yes,month-to-month,1,credit card (automatic),109.4,7227.45,0,7111,very_high
9546-cqjsu,female,0,0,0,2,1,yes,fiber optic,no,no,yes,no,yes,no,month-to-month,1,electronic check,91.4,193.6,1,182.8,high
1666-jzpzt,male,0,0,0,27,1,yes,dsl,no,no,no,no,no,no,month-to-month,0,mailed check,49,1291.35,0,1323,medium
5777-kjirb,female,0,0,0,40,1,no,dsl,no,no,yes,no,no,no,one year,1,mailed check,50.25,2023.55,0,2010,medium
0506-lvngn,female,1,0,0,5,1,no,fiber optic,no,no,yes,no,no,no,month-to-month,1,credit card (automatic),75.55,349.65,1,377.75,high
7677-sjjjk,male,0,1,1,8,1,no,no,no,no,no,no,no,no,one year,0,credit card (automatic),19.9,153.95,0,159.2,low
2480-ejwyp,female,1,1,0,58,1,yes,fiber optic,no,yes,no,no,yes,yes,one year,1,bank transfer (automatic),97.8,5458.8,0,5672.4,high
3253-hkokl,female,0,1,1,52,1,no,fiber optic,yes,no,yes,no,yes,yes,one year,0,electronic check,100.3,5244.45,0,5215.6,very_high
7055-hneoj,male,0,1,0,3,1,no,dsl,no,no,yes,yes,no,no,month-to-month,1,mailed check,55.8,154.55,0,167.4,medium
5514-yqent,male,0,0,1,41,1,no,fiber optic,yes,yes,yes,yes,yes,yes,two year,1,electronic check,111.15,4507.15,0,4557.15,very_high
3211-aapkx,male,0,0,0,20,1,yes,fiber optic,no,no,no,yes,yes,yes,month-to-month,1,mailed check,98.55,2031.95,0,1971,high
8445-dnbae,male,0,0,1,1,1,yes,dsl,no,no,no,no,no,no,month-to-month,1,electronic check,50.05,50.05,0,50.05,medium
2951-qoqtk,male,0,0,1,4,1,yes,fiber optic,no,no,no,yes,no,no,month-to-month,0,credit card (automatic),80.8,332.45,1,323.2,high
2958-nhpps,male,0,0,0,23,1,no,no,no,no,no,no,no,no,month-to-month,0,electronic check,20.85,473.9,0,479.55,low
6806-ydeul,female,1,0,0,6,1,no,no,no,no,no,no,no,no,month-to-month,0,bank transfer (automatic),19.5,106.8,0,117,low
1735-xmjvh,male,0,1,1,8,1,no,no,no,no,no,no,no,no,month-to-month,1,mailed check,19.35,152.6,0,154.8,low
6890-pfrqx,male,0,0,0,18,1,yes,dsl,yes,no,yes,no,yes,no,month-to-month,0,mailed check,69.5,1199.4,0,1251,medium
0222-cnvpt,male,1,0,0,52,0,no,dsl,yes,no,no,no,yes,yes,month-to-month,1,credit card (automatic),48.8,2555.05,0,2537.6,medium
5899-ouvkv,male,0,0,0,31,1,no,fiber optic,no,yes,no,no,yes,yes,month-to-month,1,electronic check,94.5,2979.2,0,2929.5,high
8681-icons,male,0,1,1,29,1,no,no,no,no,no,no,no,no,month-to-month,1,mailed check,20.65,654.85,0,598.85,low
1621-yncjh,female,0,1,0,36,1,yes,fiber optic,yes,yes,yes,yes,no,yes,two year,1,credit card (automatic),106.05,3834.4,0,3817.8,very_high
3473-xiiit,female,0,1,0,16,1,yes,fiber optic,no,yes,no,no,yes,yes,month-to-month,1,electronic check,100,1534.75,1,1600,high
6362-qhafm,male,0,1,0,42,1,yes,fiber optic,no,no,yes,yes,yes,yes,one year,1,electronic check,108.3,4586.15,0,4548.6,very_high
7893-ixhrq,male,0,0,0,1,1,no,no,no,no,no,no,no,no,month-to-month,0,electronic check,20.55,20.55,1,20.55,low
3070-bdoqc,female,0,0,0,60,1,no,fiber optic,no,yes,yes,no,yes,yes,two year,1,electronic check,99.65,5941.05,0,5979,high
2952-qayzf,male,0,0,0,5,1,yes,fiber optic,no,yes,yes,no,no,no,month-to-month,1,electronic check,85.3,424.15,1,426.5,high
6234-pfpxl,male,0,1,0,22,1,yes,fiber optic,yes,no,no,yes,yes,no,month-to-month,0,credit card (automatic),95.9,2234.95,0,2109.8,high
9824-qcjpk,male,0,1,0,36,1,no,no,no,no,no,no,no,no,one year,0,mailed check,20,666.75,0,720,low
4763-pgdpo,female,0,0,0,4,1,no,fiber optic,no,no,no,no,no,no,month-to-month,0,electronic check,70.4,281,1,281.6,high
4283-ivyci,male,0,0,0,9,1,no,dsl,yes,no,no,yes,no,yes,month-to-month,0,mailed check,64.95,547.8,0,584.55,medium
1866-obpnr,male,0,1,1,1,1,no,fiber optic,no,yes,no,no,no,no,month-to-month,0,credit card (automatic),74.6,74.6,0,74.6,high
8205-mqugy,male,0,1,1,12,1,no,dsl,yes,no,no,no,no,no,month-to-month,1,electronic check,49.2,571.15,0,590.4,medium
8970-anwxo,female,0,0,0,23,1,yes,dsl,no,no,no,yes,yes,yes,one year,1,mailed check,73.75,1756.6,0,1696.25,high
9480-bqjei,male,0,0,0,62,1,yes,fiber optic,yes,yes,no,no,no,yes,one year,1,bank transfer (automatic),92.3,5731.45,0,5722.6,high
5394-svgjv,male,0,0,0,37,1,yes,fiber optic,no,no,no,yes,yes,yes,month-to-month,0,bank transfer (automatic),98.8,3475.55,1,3655.6,high
6979-tndeu,female,0,0,0,8,1,no,no,no,no,no,no,no,no,month-to-month,0,mailed check,19.2,156.85,0,153.6,low
9777-wjjpr,male,0,1,0,31,1,yes,fiber optic,no,no,yes,no,yes,no,month-to-month,0,credit card (automatic),88.65,2683.2,0,2748.15,high
9283-lzqoh,male,0,1,1,13,1,yes,fiber optic,no,no,no,no,no,no,month-to-month,1,credit card (automatic),74.4,896.75,1,967.2,high
